realtime_end,value,date,realtime_start
2018-10-04,26571,1940-01-01,2018-10-04
2018-10-04,.,1941-01-01,2018-10-04
2018-10-04,.,1942-01-01,2018-10-04
2018-10-04,.,1943-01-01,2018-10-04
2018-10-04,.,1944-01-01,2018-10-04
2018-10-04,.,1945-01-01,2018-10-04
2018-10-04,.,1946-01-01,2018-10-04
2018-10-04,30612,1947-01-01,2018-10-04
2018-10-04,31900,1948-01-01,2018-10-04
2018-10-04,33257,1949-01-01,2018-10-04
2018-10-04,34075,1950-01-01,2018-10-04
2018-10-04,34391,1951-01-01,2018-10-04
2018-10-04,35164,1952-01-01,2018-10-04
2018-10-04,35577,1953-01-01,2018-10-04
2018-10-04,35926,1954-01-01,2018-10-04
2018-10-04,36251,1955-01-01,2018-10-04
2018-10-04,37047,1956-01-01,2018-10-04
2018-10-04,37718,1957-01-01,2018-10-04
2018-10-04,37911,1958-01-01,2018-10-04
2018-10-04,38410,1959-01-01,2018-10-04
2018-10-04,39254,1960-01-01,2018-10-04
2018-10-04,39620,1961-01-01,2018-10-04
2018-10-04,40404,1962-01-01,2018-10-04
2018-10-04,40888,1963-01-01,2018-10-04
2018-10-04,41341,1964-01-01,2018-10-04
2018-10-04,41689,1965-01-01,2018-10-04
2018-10-04,42263,1966-01-01,2018-10-04
2018-10-04,42743,1967-01-01,2018-10-04
2018-10-04,43507,1968-01-01,2018-10-04
2018-10-04,44086,1969-01-01,2018-10-04
2018-10-04,44728,1970-01-01,2018-10-04
2018-10-04,44928,1971-01-01,2018-10-04
2018-10-04,45724,1972-01-01,2018-10-04
2018-10-04,46297,1973-01-01,2018-10-04
2018-10-04,46787,1974-01-01,2018-10-04
2018-10-04,46951,1975-01-01,2018-10-04
2018-10-04,47297,1976-01-01,2018-10-04
2018-10-04,47471,1977-01-01,2018-10-04
2018-10-04,47357,1978-01-01,2018-10-04
2018-10-04,47662,1979-01-01,2018-10-04
2018-10-04,49112,1980-01-01,2018-10-04
2018-10-04,49294,1981-01-01,2018-10-04
2018-10-04,49630,1982-01-01,2018-10-04
2018-10-04,49908,1983-01-01,2018-10-04
2018-10-04,50081,1984-01-01,2018-10-04
2018-10-04,50350,1985-01-01,2018-10-04
2018-10-04,50933,1986-01-01,2018-10-04
2018-10-04,51537,1987-01-01,2018-10-04
2018-10-04,51675,1988-01-01,2018-10-04
2018-10-04,52100,1989-01-01,2018-10-04
2018-10-04,52317,1990-01-01,2018-10-04
2018-10-04,52147,1991-01-01,2018-10-04
2018-10-04,52457,1992-01-01,2018-10-04
2018-10-04,53090,1993-01-01,2018-10-04
2018-10-04,53171,1994-01-01,2018-10-04
2018-10-04,53858,1995-01-01,2018-10-04
2018-10-04,53567,1996-01-01,2018-10-04
2018-10-04,53604,1997-01-01,2018-10-04
2018-10-04,54317,1998-01-01,2018-10-04
2018-10-04,54770,1999-01-01,2018-10-04
2018-10-04,55311,2000-01-01,2018-10-04
2018-10-04,56592,2001-01-01,2018-10-04
2018-10-04,56747,2002-01-01,2018-10-04
2018-10-04,57320,2003-01-01,2018-10-04
2018-10-04,57719,2004-01-01,2018-10-04
2018-10-04,57975,2005-01-01,2018-10-04
2018-10-04,58179,2006-01-01,2018-10-04
2018-10-04,58945,2007-01-01,2018-10-04
2018-10-04,58370,2008-01-01,2018-10-04
2018-10-04,59118,2009-01-01,2018-10-04
2018-10-04,58410,2010-01-01,2018-10-04
2018-10-04,58656,2011-01-01,2018-10-04
2018-10-04,58949,2012-01-01,2018-10-04
2018-10-04,59204,2013-01-01,2018-10-04
2018-10-04,59629,2014-01-01,2018-10-04
2018-10-04,60010,2015-01-01,2018-10-04
2018-10-04,60251,2016-01-01,2018-10-04
2018-10-04,60804,2017-01-01,2018-10-04
